OID_,Id,SP1,SP2,SP3,SP4
0,1,chestnut oak,chestnut oak, , 
1,2,white oak,white oak, , 
2,3,white oak,white oak, , 
3,4,white oak,white oak, , 
4,5,pine, , , 
5,6,white oak,white oak, , 
6,7,white oak,white oak, , 
7,8,white oak, , , 
8,9,black oak,white oak, , 
9,10,white oak,black oak, , 
10,11,white oak,black oak, , 
11,12,black oak,white oak, , 
12,13,black oak,black oak, , 
13,14,chestnut oak,white oak, , 
14,15,white oak,hickory, , 
15,16,locust,hickory, , 
16,17,poplar,white oak, , 
17,18,hickory, , , 
18,19,black oak,pine, , 
19,20,white oak,white oak,hickory, 
20,21,hickory,hickory,hickory, 
21,22,black oak,hickory, , 
22,23,pine,white oak, , 
23,24,white oak, , , 
24,25,white oak,white oak, , 
25,26,maple,hickory, , 
26,27,white oak, , , 
27,28,white oak,white oak, , 
28,29,hickory,white oak, , 
29,30,hickory,black oak, , 
30,31,white oak,black oak, , 
31,32,black ash,white oak, , 
32,33,hickory,yellow oak, , 
33,34,yellow oak,hickory, , 
34,35,maple,white oak, , 
35,36,maple,maple, , 
36,37,white oak, , , 
37,38,poplar,ash, , 
38,39,beech,beech, , 
39,40,hickory,white oak, , 
40,41,hickory,black oak, , 
41,42,maple,beech, , 
42,43,white oak,poplar, , 
43,44,white oak,hickory, , 
44,45,maple,poplar, , 
45,46,black oak,black oak, , 
46,47,white oak,black oak, , 
47,48,black oak,black oak, , 
48,49,buckeye,red oak, , 
49,50,white oak,beech, , 
50,51,white oak,white oak, , 
51,52,hickory,white oak, , 
52,53,white oak,white oak, , 
53,54,hickory,white oak,hickory,white oak
54,55,black oak, , , 
55,56,beech,beech,ash,hickory
56,57,beech,beech, , 
57,58,red oak,red oak, , 
58,59,black oak,black oak, , 
59,60,black oak,black oak, , 
60,61,no tree, , , 
61,62,ash,hickory, , 
62,63,white oak,beech, , 
63,64,maple,white oak, , 
64,65,sycamore,ash,hickory, 
65,66,sugar,sugar, , 
66,67,white oak,maple, , 
67,68,sugar,sugar, , 
68,69,hickory,elm, , 
69,70,beech,beech, , 
70,71,elm,elm, , 
71,72,lynn,white oak, , 
72,73,beech,beech, , 
73,74,beech,beech,maple, 
74,75,beech,sugar, , 
75,76,elm,ash, , 
76,77,sugar maple,sugar maple, , 
77,78,white oak,white oak,white oak, 
78,79,white oak,ash,red oak,white oak
79,80,white oak, , , 
80,81,sycamore,white oak, , 
81,82,ash, , , 
82,83,beech, , , 
83,84,black oak, , , 
84,85,elm,bur oak,black oak, 
85,86,beech,ironwood, , 
86,87,sugar,beech, , 
87,88,beech,ironwood, , 
88,89,sugar,buckeye, , 
89,90,elm,maple, , 
90,91,ash,ash,beech, 
91,92,bur oak,red oak, , 
92,93,sugar,hickory, , 
93,94,ash,beech, , 
94,95,ash,ash, , 
95,96,lynn, , , 
96,97,beech, , , 
97,98,buckeye, , , 
98,99,beech,sugar, , 
99,100,beech,beech, , 
100,101,beech,beech, , 
101,102,beech,elm, , 
102,103,elm,buckeye,beech, 
103,104,maple,maple, , 
104,105,ash,ash, , 
105,106,ironwood,maple, , 
106,107,beech,beech, , 
107,108,maple,white oak,maple, 
108,109,beech,ash, , 
109,110,beech,beech, , 
110,111,beech,beech, , 
111,112,elm,ash, , 
112,113,hickory,ash, , 
113,114,lynn,sugar, , 
114,115,red oak,beech, , 
115,116,beech,beech, , 
116,117,beech,red oak, , 
