SP1,Field24,Count of AllTreesData
Other,Null,10
no tree,Null,18
Walnut,Null,3
Tulip Poplar,Null,1
Sycamore,Null,10
Pine,Null,0
Oak,Null,35
Maple,Null,21
Honey Locust,Null,0
Hickory,Null,14
Hackberry,Null,2
Elm,Null,15
Cherry,Null,0
Beech,Null,48
Basswood,Null,2
Ash,Null,7
Other,Very poorly drained,35
no tree,Very poorly drained,17
Walnut,Very poorly drained,10
Tulip Poplar,Very poorly drained,2
Sycamore,Very poorly drained,23
Pine,Very poorly drained,0
Oak,Very poorly drained,113
Maple,Very poorly drained,97
Honey Locust,Very poorly drained,1
Hickory,Very poorly drained,74
Hackberry,Very poorly drained,0
Elm,Very poorly drained,141
Cherry,Very poorly drained,0
Beech,Very poorly drained,154
Basswood,Very poorly drained,73
Ash,Very poorly drained,176
Other,Poorly drained,15
no tree,Poorly drained,4
Walnut,Poorly drained,2
Tulip Poplar,Poorly drained,2
Sycamore,Poorly drained,4
Pine,Poorly drained,0
Oak,Poorly drained,104
Maple,Poorly drained,55
Honey Locust,Poorly drained,0
Hickory,Poorly drained,78
Hackberry,Poorly drained,0
Elm,Poorly drained,118
Cherry,Poorly drained,0
Beech,Poorly drained,51
Basswood,Poorly drained,34
Ash,Poorly drained,74
Other,Somewhat poorly drained,50
no tree,Somewhat poorly drained,20
Walnut,Somewhat poorly drained,9
Tulip Poplar,Somewhat poorly drained,7
Sycamore,Somewhat poorly drained,12
Pine,Somewhat poorly drained,0
Oak,Somewhat poorly drained,238
Maple,Somewhat poorly drained,67
Honey Locust,Somewhat poorly drained,0
Hickory,Somewhat poorly drained,93
Hackberry,Somewhat poorly drained,0
Elm,Somewhat poorly drained,105
Cherry,Somewhat poorly drained,2
Beech,Somewhat poorly drained,176
Basswood,Somewhat poorly drained,47
Ash,Somewhat poorly drained,120
Other,Moderately well drained,143
no tree,Moderately well drained,57
Walnut,Moderately well drained,36
Tulip Poplar,Moderately well drained,48
Sycamore,Moderately well drained,24
Pine,Moderately well drained,32
Oak,Moderately well drained,1365
Maple,Moderately well drained,375
Honey Locust,Moderately well drained,2
Hickory,Moderately well drained,356
Hackberry,Moderately well drained,2
Elm,Moderately well drained,212
Cherry,Moderately well drained,2
Beech,Moderately well drained,1030
Basswood,Moderately well drained,86
Ash,Moderately well drained,323
Other,Well drained,321
no tree,Well drained,87
Walnut,Well drained,72
Tulip Poplar,Well drained,119
Sycamore,Well drained,31
Pine,Well drained,19
Oak,Well drained,1854
Maple,Well drained,530
Honey Locust,Well drained,5
Hickory,Well drained,536
Hackberry,Well drained,12
Elm,Well drained,207
Cherry,Well drained,7
Beech,Well drained,986
Basswood,Well drained,55
Ash,Well drained,360
Other,Excessively drained,0
no tree,Excessively drained,0
Walnut,Excessively drained,1
Tulip Poplar,Excessively drained,1
Sycamore,Excessively drained,0
Pine,Excessively drained,0
Oak,Excessively drained,16
Maple,Excessively drained,6
Honey Locust,Excessively drained,0
Hickory,Excessively drained,5
Hackberry,Excessively drained,0
Elm,Excessively drained,0
Cherry,Excessively drained,0
Beech,Excessively drained,4
Basswood,Excessively drained,0
Ash,Excessively drained,1
