Field24,SP1,Count of AllTreesData
Null,Other,10
Null,no tree,18
Null,Walnut,3
Null,Tulip Poplar,1
Null,Sycamore,10
Null,Pine,0
Null,Oak,35
Null,Maple,21
Null,Honey Locust,0
Null,Hickory,14
Null,Hackberry,2
Null,Elm,15
Null,Cherry,0
Null,Beech,48
Null,Basswood,2
Null,Ash,7
Very poorly drained,Other,35
Very poorly drained,no tree,17
Very poorly drained,Walnut,10
Very poorly drained,Tulip Poplar,2
Very poorly drained,Sycamore,23
Very poorly drained,Pine,0
Very poorly drained,Oak,113
Very poorly drained,Maple,97
Very poorly drained,Honey Locust,1
Very poorly drained,Hickory,74
Very poorly drained,Hackberry,0
Very poorly drained,Elm,141
Very poorly drained,Cherry,0
Very poorly drained,Beech,154
Very poorly drained,Basswood,73
Very poorly drained,Ash,176
Poorly drained,Other,15
Poorly drained,no tree,4
Poorly drained,Walnut,2
Poorly drained,Tulip Poplar,2
Poorly drained,Sycamore,4
Poorly drained,Pine,0
Poorly drained,Oak,104
Poorly drained,Maple,55
Poorly drained,Honey Locust,0
Poorly drained,Hickory,78
Poorly drained,Hackberry,0
Poorly drained,Elm,118
Poorly drained,Cherry,0
Poorly drained,Beech,51
Poorly drained,Basswood,34
Poorly drained,Ash,74
Somewhat poorly drained,Other,50
Somewhat poorly drained,no tree,20
Somewhat poorly drained,Walnut,9
Somewhat poorly drained,Tulip Poplar,7
Somewhat poorly drained,Sycamore,12
Somewhat poorly drained,Pine,0
Somewhat poorly drained,Oak,238
Somewhat poorly drained,Maple,67
Somewhat poorly drained,Honey Locust,0
Somewhat poorly drained,Hickory,93
Somewhat poorly drained,Hackberry,0
Somewhat poorly drained,Elm,105
Somewhat poorly drained,Cherry,2
Somewhat poorly drained,Beech,176
Somewhat poorly drained,Basswood,47
Somewhat poorly drained,Ash,120
Moderately well drained,Other,143
Moderately well drained,no tree,57
Moderately well drained,Walnut,36
Moderately well drained,Tulip Poplar,48
Moderately well drained,Sycamore,24
Moderately well drained,Pine,32
Moderately well drained,Oak,1365
Moderately well drained,Maple,375
Moderately well drained,Honey Locust,2
Moderately well drained,Hickory,356
Moderately well drained,Hackberry,2
Moderately well drained,Elm,212
Moderately well drained,Cherry,2
Moderately well drained,Beech,1030
Moderately well drained,Basswood,86
Moderately well drained,Ash,323
Well drained,Other,321
Well drained,no tree,87
Well drained,Walnut,72
Well drained,Tulip Poplar,119
Well drained,Sycamore,31
Well drained,Pine,19
Well drained,Oak,1854
Well drained,Maple,530
Well drained,Honey Locust,5
Well drained,Hickory,536
Well drained,Hackberry,12
Well drained,Elm,207
Well drained,Cherry,7
Well drained,Beech,986
Well drained,Basswood,55
Well drained,Ash,360
Excessively drained,Other,0
Excessively drained,no tree,0
Excessively drained,Walnut,1
Excessively drained,Tulip Poplar,1
Excessively drained,Sycamore,0
Excessively drained,Pine,0
Excessively drained,Oak,16
Excessively drained,Maple,6
Excessively drained,Honey Locust,0
Excessively drained,Hickory,5
Excessively drained,Hackberry,0
Excessively drained,Elm,0
Excessively drained,Cherry,0
Excessively drained,Beech,4
Excessively drained,Basswood,0
Excessively drained,Ash,1
